description,pallets,weight,cube
REFRIGERATED,9,12150,755.5
GENERAL CARGO,1,95,14.4
GROCERY ITEMS,3,5095,136
DRY PRODUCTS,3,3842,108.8
PARTY SUPPLIES,1,139,52.2
DRY PRODUCTS,6,13126,310.5
GROCERY ITEMS,1,448,55.5
DRY GROCERY,9,11311,400
GROCERY ITEMS,2,1016,66.6
FROZEN PRODUCTS,8,4000,395.5
GROCERY ITEMS,3,2550,118.8
DRY PRODUCTS,9,19689,680
LIGHTERS,1,295,44.4
GENERAL CARGO,6,2663,353.3
GROCERY ITEMS,1,809,64.4
GENERAL CARGO,1,82,20
GROCERY ITEMS,16,37440,1084.4
GROCERY ITEMS,1,2100,61.1
GROCERY ITEMS,5,3058,204.4
DRY PRODUCTS,1,1170,33.3
REFRIGERATED PRODUCT,1,197,31.1
FROZEN PRODUCTS,2,833,77.7
GROCERY ITEMS,8,13123,408.8
GROCERY ITEMS,15,11927,722.2
FROZEN PRODUCTS,1,845,71.1
DRY PRODUCTS,9,691,314.4
FROZEN PRODUCTS,1,239,37.7
GENERAL CARGO,2,843.3,46.6
GROCERY ITEMS,7,13388,412.2
REFRIGERATED,11,10364.87,837.7
GROCERY ITEMS,8,11651,336.6
DRY PRODUCTS,4,3685,188.8
DRY PRODUCTS,5,1169,250
DRY PRODUCTS,2,360,67.7
DRY CARGO,2,1068,226.8
REFRIGERATED,2,3360,258.8
DRY PRODUCTS,3,1695,195.5
GROCERY ITEMS,14,20696,777.7
GROCERY ITEMS,4,6495,232.2
REFRIGERATED,1,730.8,36.6
PARTY SUPPLIES,1,546,73.3
GENERAL CARGO,1,201,20
CBD PHARMA,2,988,95.5
FROZEN,4,5520,306.6
GENERAL CARGO,1,92,24.4
REFRIGERATED,14,18220,821.1
GENERAL CARGO,9,7083,994.4
REFRIGERATED,3,2122,85.5
FROZEN PRODUCTS,2,2122,107.7
GROCERY ITEMS,1,340,41.1
REFRIGERATED,2,1932,120
REFRIGERATED,1,552,30
REFRIGERATED,2,1422,97.7
REFRIGERATED,6,6847,306.6
REFRIGERATED,1,493,24.4
FROZEN PRODUCTS,14,23586,1104.4
GROCERY ITEMS,5,1850,433.3
GENERAL CARGO,1,162,24.4
REFRIGERATED,8,11520,764.4
DRY PRODUCTS,10,6224,524.4
REFRIGERATED,2,2209,82.2
GROCERY ITEMS,1,133,21.1
REFRIGERATED,6,5786,275.5
GENERAL CARGO,1,545,60
FROZEN FOOD,1,420,27.7
REFRIGERATED,2,2221,80
STRAWBERRY CONCENTRATE,3,3057,112.2
REFRIGERATED,18,15931,1068.8
REFRIGERATED,3,3465,236.6
REFRIGERATED,3,6075,204.4
GENERAL CARGO,1,69,28.8
REFRIGERATED,22,36068,1002.2
DRY GROCERY,18,13439,926.6
REFRIGERATED,1,1883,63.3
GROCERY ITEMS,6,4380,282.2
DRY PRODUCTS,5,3720,192.2
DRY PRODUCTS,3,352,137.7
FROZEN PRODUCTS,2,1795,127.7
DRY CARGO,2,1974,91.1
REFRIGERATED,13,16759,722.2
DRY PRODUCTS,22,38691,1613.3
GENERAL CARGO,1,63,17.7
REFRIGERATED,16,27190,953.3
Frozen Product,1,750,51.1
REFRIGERATED,3,3093,111.1
GENERAL CARGO,1,179,37.9
FROZEN PRODUCT,1,2263,81.1
REFRIGERATED,1,472,37.7
GROCERY ITEMS,1,113,21.1
GENERAL CARGO,1,48,25.5
GENERAL CARGO,2,1430,142.2
REFRIGERATED,9,9583,802.2
DRY PRODUCTS,15,23935,637.7
GENERAL CARGO,2,1894,186.6
GENERAL CARGO,25,9937,1362.2
GROCERY ITEMS,1,131,18.8
GROCERY ITEMS,1,441,51.1
REFRIGERATED,18,20142,1270
GROCERY ITEMS,1,780,32.2
GROCERY ITEMS,11,7635,508.8
GROCERY ITEMS,1,445,54.4
REFRIGERATED,1,1055,74.4
REFRIGERATED,15,17716,1044.4
FROZEN,34,14331,1701.1
FROZEN PRODUCTS,22,16574,1320
REFRIGERATED,1,558,26.6
REFRIGERATED,2,1680,98.8
GROCERY ITEMS,2,814,120
DRY CARGO,3,2388,210
GROCERY ITEMS,7,3309,368.8
FROZEN MEAT,3,2238,121.1
DRY GROCERY,11,11132.96,364.44
REFRIGERATED,3,6000,170
REFRIGERATED,5,2927,198.8
REFRIGERAED PRODUCT,6,7607,235.5
REFRIGERATED,29,22193,1332.2
REFRIGERATED,1,548,27.7
REFRIGERATED,7,7090,324.4
REFRIGERATED,1,493,17.7
REFRIGERATED,2,1442,91.1
GENERAL CARGO,62,20819,2626.6
GENERAL CARGO,8,5470,805.5
GENERAL CARGO,8,5570,846.6
CHARCOAL,13,14364,558.8
REFRIGERATED,28,25234,1613.3
REFRIGERATED,27,24235,1463.3
GENERAL CARGO,28,25549,1387.7
REFRIGERATED,16,23693,803.3
GENERAL CARGO,4,3878,118.8
GENERAL CARGO,4,1776,207.7
GENERAL CARGO,2,2628,101.1
GENERAL CARGO,2,2316,84.4
GENERAL CARGO,2,2414,83.3
GENERAL CARGO,4,2267,286.6
GENERAL CARGO,2,374,78.8
REFRIGERATED,9,12427,916.6
GENERAL CARGO,2,318,106.3
GROCERY ITEMS,14,9636,660.5
GROCERY ITEMS,9,3793,556.3
GROCERY ITEMS,10,13015,703.3
GENERAL CARGO,1,312,22.2
GENERAL CARGO,1,1264,47.7
GENERAL MERCHANDISE,2,615,104.4
GENERAL CARGO,3,1759,170
GENERAL CARGO,2,1624,91.1
GENERAL CARGO,2,1543,100
GENERAL CARGO,4,1742,197.7
GENERAL CARGO,4,1808,234.4
GENERAL CARGO,3,1496,163.3
GENERAL CARGO,3,825,153.3
GENERAL CARGO,2,1498,121.1
GENERAL CARGO,3,1663,114.4
GENERAL CARGO,3,649,171.1
GENERAL CARGO,5,305,253.3
GENERAL CARGO,2,2122,132.2
GENERAL CARGO,6,1615,238.8
GENERAL CARGO,6,1592,217.7
GENERAL CARGO,2,810,102.2
REFRIGERATED,2,3133,107.7
FROZEN PRODUCT,1,71,25.5
DRY PRODUCTS,7,13388,404.4
GENERAL CARGO,1,280,22.2
FROZEN PRODUCTS,4,2000,205.5
DRY GROCERY,8,4008,237.7
DRY CARGO,1,1165,58.8
GROCERY ITEMS,2,725,114.4
DRY PRODUCTS,6,5205,397.7
GROCERY ITEMS,1,1717,54.4
FROZEN,3,1932,166.6
GROCERY ITEMS,4,1968,156.6
GENERAL MERCHANDISE,17,8980,1394.4
DRY CARGO,1,72,11.1
DRY CARGO,1,229,30
GENERAL CARGO,2,1035,286.1
Canada Dry Ginger Ale,9,19689,680
GROCERY ITEMS,4,5570,240
GROCERY ITEMS,1,538,33.3
GROCERY ITEMS,4,576,86.6
REFRIGERATED Cargo,13,5189,552.2
GROCERY ITEMS,34,10279,1170
DRY GROCERIES,24,15787,1098.8
FROZEN PRODUCTS,7,10514,354.4
REFRIGERATED,12,12361,716.6
Dry grocerie,6,11214,296.6
REFRIGERATED,1,142,12.2
REFRIGERATED,2,3360,173.3
Dry product,2,1405,125.5
Dry product,1,372,47.7
REFRIGERATED product,1,852,44.4
Refrigerate product,3,5540,185.5
REFRIGERATED,6,5786,276.6
DRY PRODUCTS,6,10956,446.6
GROCERY ITEMS,8,6740,193.3
REFRIGERATED,21,34687,1227.7
FROZEN PASTA,1,741,51.1
Frozen Product,1,1099,60
FOOD COLORING,2,1554,96.6
REFRIGERATED,1,578,36.6
REFRIGERATED,18,22674,1138.8
groxery store merchanidse,3,1334,206.6
REFRIGERATED,23,18210,1026.6
REFRIGERATED,5,2739,145.3
GROCERY ITEMS,12,22950,706.6
DRY CARGO,11,2625,508.8
GROCERY ITEMS,2,1950,70.8
GENERAL CARGO,4,1210,240.4
GROCERY ITEMS,1,958,86.7
GROCERY ITEMS,3,578,197.7
REFRIGERATED,19,20938,1303.3
REFRIGERATED,18,20382,1280
CRAB MEAT,10,8280,358.8
REFRIGERATED,8,9715,666.6
REFRIGERATED,3,4492,120
DRY CARGO,26,45630,1271.1
DRY CARGO,1,59,18.8
DRY GROCERY,2,882,91.1
GENERAL CARGO,3,2600,150
REFRIGERATED,1,1240,44
GENERAL CARGO,10,7382,641.1
FROZEN PRODUCTS,1,1282,70.3
smoke products,1,156,31.1
DRY PRODUCTS,1,524,60
DRY PRODUCTS,18,9530,976.6
REFRIGERATED GROCERIES,18,17737.47,990
DRY PRODUCTS,1,57,11.1
GENERAL CARGO,1,177,30
GENERAL CARGO,2,3509,270.6
APPLE CONCENTRATE,23,24000,1030.7
APPLE CONCENTRATE,23,24000,1030.7
APPLE CONCENTRATE,23,24000,1030.7
REFRIGERATED,8,8976,400
GROCERY PRODUCT,4,3242,400
REFRIGERATED,2,1848,108.8
GROCERY PRODUCTS,2,2295,77.77
GROCERY ITEMS,27,15539.75,1442.22
GENERAL CARGO,1,375,51.1
FROZEN PRODUCTS,1,909,68.8
REFRIGERATED,19,28638,1252.2
REFRIGERATED,9,11886,444.4
GROCERY ITEMS,7,2247,370
DRY PRODUCTS,28,24707,1392.2
DRY PRODUCTS,1,101,14.4
REFRIGERATED PRODUCT,1,462,33.33
DRY PRODUCTS,1,339,48.8
DRY PRODUCTS,6,6934,224.4
REFRIGERATED,1,493,26.6
REFRIGERATED,1,714,33.3
DRY PRODUCTS,8,7917,231.1
REFRIGERATED,2,1896,116.6
REFRIGERATED,1,172,13.3
REFRIGERATED,6,5422,301.1
grcery store merchandise,22,38815,75.5
GROCERY ITEMS,3,6032,164.4
PARTY SUPPLIES,3,634,193.3
FROZEN CHOCOLATE,1,406,41.1
Black Ice Cream Spoons 1.5,2,1340,164.4
REFRIGERATED,9,11212,747.7
DRY PRODUCTS,7,11484,357.7
DRY CARGO,8,7500,344.4
DRY GROCERY,23,13444,760
REFRIGERATED,3,3947,140
REFRIGERATED,1,441,23.3
MIX BERRIES,7,12600,483
STRAWBERRIES,1,1400,58
STRAWBERRIES,4,7200,276
BLUEBERRIES,2,3600,138
RASPBERRIES,2,3600,138
GROCERY ITEMS,3,5118,140
GENERAL CARGO,1,64,15.5
GENERAL CARGO,1,72,14.4
DRY CARGO,2,108,28.8
REFRIGERATED,2,1120,87.7
DRY PRODUCTS,12,6720,1133.3
GROCERY ITEMS,1,369,41.1
REFRIGERATED,14,15905,811.1
GENERAL CARGO,3,1080,206.6
FROZEN PRODUCTS,10,16559,735.5
DRY PRODUCTS,10,7215,448.8
FROZEN TUNA,2,3282,122.2
DRY GROCERY,20,13968,1811.1
REFRIGERATED,1,1197,64.4
REFRIGERATED,1,1850,50
GENERAL CARGO,1,1033,65.5
FROZEN PRODUCTS,5,4095,502.2
GROCERY ITEMS,1,91,133.3
REFRIGERATED,12,21578,757.7
REFRIGERATED,4,6720,337.7
GROCERY ITEMS,3,1613,156.6
REFRIGERATED,2,1942,72.2
GENERAL CARGO,1,64,13.3
DRY CARGO,1,348,22.9
FROZEN,22,43111,1075.5
GROCERY ITEMS,3,5738,173.3
GROCERY ITEMS,4,7650,231.1
DRY GROCERY,10,22640,646.6
FROZEN,5,3376,317.7
DRY PRODUCTS,1,19,8.8
DRY GROCERY,11,7790,298.8
REFRIGERATED,17,23766,1065.5
REFRIGERATED,4,8633,275.5
REFRIGERATED,17,18314,1152.2
FROZEN PRODUCTS,4,3141,332.2
REFRIGERATED,22,35682,1002.2
GROCERY ITEMS,4,3814,126.6
DRY GROCERY,22,38824,1588.8
GENERAL CARGO,1,93,20
DRY GROCERY,6,10882,377.7
DRY GROCERY,1,2500,54.4
GENERAL CARGO,1,122,35.5
DRY PRODUCTS,1,461,93.3
DRY PRODUCTS,1,434,88.8
REFRIGERATED,6,5713,306.6
GENERAL CARGO,9,9410,618.3
DRY GROCERY,2,723,71.1
DRY PRODUCTS,1,1395,55.5
DRY PRODUCTS,2,444,76.6
DRY PRODUCTS,4,1168,404.4
GENERAL CARGO,5,8447,370
GENERAL CARGO,1,300,17.7
DRY PRODUCTS,3,5800,175.5
FROZEN PRODUCTS,2,1154,125.5
REFRIGERATED,20,20195,1138.8
REFRIGERATED,8,7197,242.2
GENERAL CARGO,1,74,22.2
Dry Product,1,133,140
DRY GROCERY,22,4843,630
DRY PRODUCTS,11,6118,565.5
DRY PRODUCTS,6,4065,251.1
REFRIGERATED,2,4252,124.4
DRY GROCERY,2,1717,106.6
FROZEN,1,315,55.5
FROZEN PRODUCTS,1,607,45.5
CHOCOLATE,2,4176,113.3
REFRIGERATED,1,563,51.1
DRY PRODUCTS,1,85,22.2
GROCERY ITEMS,4,8675,230
GENERAL CARGO,6,12456,423.3
FROZEN PRODUCTS,3,3000,188.8
DRY GROCERY,6,4692,351.1
GENERAL CARGO,5,4728,152.2
GENERAL CARGO,3,2403,207.7
GENERAL CARGO,1,842,75.5
GENERAL CARGO,5,1136,208.8
GENERAL CARGO,5,1191,216.6
GENERAL CARGO,3,2034,184.4
GENERAL CARGO,4,1889,126.6
GENERAL CARGO,3,1090,162.2
GENERAL CARGO,4,1865,185.5
GENERAL CARGO,5,1254,175.5
GENERAL CARGO,1,1066,47.7
REFRIGERATED,15,22898.34,1006.6
GENERAL CARGO,3,1281,143.3
GENERAL CARGO,1,1481,64.4
GENERAL CARGO,3,1668,134.4
DRY GROCERY,8,2022,426.6
GENERAL CARGO,4,1518,151.1
GENERAL CARGO,3,2161,166.6
GENERAL CARGO,3,949,202.2
GENERAL CARGO,1,1797,56
GENERAL CARGO,1,1598,48
GENERAL CARGO,1,152,23.3
GENERAL CARGO,5,6900,286.6
REFRIGERATED,8,6072,664.4
REFRIGERATED,29,21473,1271.1
GENERAL CARGO,1,220,41.3
REFRIGERATED,7,5562,414.4
general caego,1,178,28.8
REFRIGERATED,6,7044,211.1
REFRIGERATED,6,5507,253.3
REFRIGERATED,1,493,18.8
REFRIGERATED,2,1422,84.4
GROCERY ITEMS,3,6600,146
REFRIGERATED,1,548.1,26.6
DRY CARGO,1,731,62.2
DRY CARGO,6,4595,453.3
GENERAL CARGO,55,17855,2138.8
DRY PRODUCTS,1,15,16.6
DRY GROCERY,1,1668,43.3
GENERAL CARGO,7,10969,403.3
REFRIGERATED,7,8444,643.3
GENERAL CARGO,4,2910,197.3
GENERAL CARGO,1,3212,413.5
REFRIGERATED,2,2209,103.3
DRY GROCERY,2,3834,75.5
REFRIGERATED,2,2744,108.8
GENERAL CARGO,4,5076,342.2
DRY PRODUCTS,10,11015,663.3
GENERAL CARGO,10,7078,475.5
DRY PRODUCTS,5,3993,196.6
dry goods,1,260,30
FROZEN PRODUCTS,6,2312,97.7
DRY PRODUCTS,15,32815,1133.3
DRY GROCERY,2,5740,86.6
REFRIGERATED Product,11,11198,664.4
frozen tuna,1,1566,60
DRY CARGO,6,3192,664
GROCERY ITEMS,52,25530,3062.2
DRY GROCERY,8,7858,262.2
DRY GROCERY,5,6288,171.1
litter bin,7,4965,342.2
GROCERY ITEMS,20,38619,1126.6
DRY GROCERY,29,19086,1478.8
DRY GROCERY,5,3296,155.5
Frozen Product,7,6315,363.3
REFRIGERATED,1,174,33.3
GROCERY ITEMS,2,1020,86.6
GENERAL CARGO,2,2077,76.6
DRY CARGO,1,746,33.3
GROCERY ITEMS,6,7522,380
REFRIGERATED,15,24383.4,844.4
GROCERY ITEMS,2,1216,86.6
REFRIGERATED,1,609,33.3
GENERAL CARGO,29,15074,1374.4
Frozen Product,8,10475,666.6
Chicken,1,2030,62.2
REFRIGERATED,2,1505,104.4
FROZEN PRODUCTS,1,834,86.6
REFRIGERATED,1,583,73.3
REFRIGERATED,1,265,48.8
REFRIGERATED,15,20170,906.6
REFRIGERATED,2,2057,102.2
GROCERY ITEMS,28,22213,1371.1
DRY GROCERY,22,38885,1588.8
DRY PRODUCTS,3,3006,176.6
DRY PRODUCTS,47,42396,2190
DRY PRODUCTS,11,17174,427.7
DRY CARGO,7,4466,628.8
REFRIGERATED Product,1,136,46.6
REFRIGERATED,10,12790,936.6
DY CARGO,10,6380,960
DRY GROCERY,9,14886,503.3
DRY PRODUCTS,6,4208,517.7
DRY GROCERY,11,3567,1898.8
FROZEN PRODUCTS,26,38247.57,1566.6
DRY GROCERY,3,5843,146.6
GENERAL CARGO,17,39288,1125.5
REFRIGERATED,20,20565.4,956.6
GROCERY ITEMS,12,9776.7,626.6
FROZEN PRODUCTS,1,1629.5,60
FROZEN MEAT,14,24186,1183.3
GENERAL CARGO,1,138,21.3
REFRIGERATED,1,873,93.3
DRY GROCERY,2,460,73.3
GENERAL CARGO,1,137,11.1
GENERAL CARGO,12,7115,533.3
DRY GROCERY,13,4244.21,708.8
GROCERY ITEMS,23,41063,1213.3
REFRIGERATED,5,2061.1,167.7
REFRIGERATED,32,25558.9,1403.3
REFRIGERATED,7,7546.5,241.1
REFRIGERATED,22,36293,1002.2
REFRIGERATED,1,172,14.4
REFRIGERATED,1,493,20
REFRIGERATED,2,1422,86.6
REFRIGERATED Product,2,1990,64.4
REFRIGERATED Product,3,6000,170
DRY CARGO,1,88,12.2
DRY CARGO,1,133,30
DRY GROCERY,1,2068,93.3
FROZEN PRODUCTS,11,6349.5,554.4
REFRIGERATED,2,2520,143.3
GENERAL CARGO,6,1514,525.5
GROCERY ITEMS,2,921.6,106.6
GENERAL CARGO,1,30,22.2
REFRIGERATED,16,21396.6,922.2
DRY GROCERY,5,5323,345.5
GROCERY ITEMS,1,1874,42.2
CHARCOAL,13,14192,564.4
FROZEN,6,6192,338.8
GROCERY ITEMS,6,10269,306.6
GENERAL CARGO,1,360,34.4
GROCERY ITEMS,8,3789.36,455.5
REFRIGERATED,11,14355,1038.8
GROCERY ITEMS,24,18490.7,780
DRY GROCERY,10,14819.7,402.2
REFRIGERATED,4,5123.3,238.8
DRY GROCERY,1,181.5,16.6
DRY GROCERY,16,13857.3,528.8
Frozen Product,3,2804.3,145.5
REFRIGERATED Product,1,1836,50
REFRIGERATED,3,3825,133.3
Frozen Product,5,5902.36,225.5
DRY PRODUCTS,3,985,166.6
GENERAL CARGO,1,372,44.4
DRY GROCERY,30,10703.8,3133.3
Frozen Pallets,14,6288.51,695.5
DRY PRODUCTS,2,3140,115.5
DRY PRODUCTS,1,850,88.8
REFRIGERATED,7,3689,248.8
REFRIGERATED,3,5529.7,182.2
DRY PRODUCTS,3,5000,215.5
DRY PRODUCTS,2,1326,101.1
REFRIGERATED,1,808.8,817.7
DRY GROCERY,16,30600,924.4
DRY PRODUCTS,1,45,20
REFRIGERATED,1,161,22.2
DRY PRODUCTS,1,200,20
REFRIGERATED,5,8356.2,260
DRY PRODUCTS,1,34,10
DRY GROCERY,3,3462,210
FROZEN PRODUCTS,11,12281.3,577.7
frozen pizza,1,754,51.1
REFRIGERATED,18,23690.3,1064.4
REFRIGERATED,2,2286,78.8
DRY GROCERY,22,38782,1662.2
REFRIGERATED,2,612,74.4
FROZEN PRODUCTS,1,985,86.6
Frozen Product,5,5711.2,283.3
FROZEN PRODUCTS,4,4240.7,306.6
GROCERY ITEMS,3,4568,122.2
DRY CARGO,1,130,37.7
GENERAL CARGO,2,624,98.8
frozen bread,8,3400,432.2
DRY PRODUCTS,4,1611.36,180
frozen food,1,1512,66.6
REFRIGERATED Product,5,3595,178.8
REFTIGERATED,2,3248,100
REFRIGERATED,2,943,44.4
GENERAL CARGO,1,487,50
GENERAL CARGO,46,13476.1,3020
DRY GROCERY,1,86,28.8
FROZEN PRODUCTS,1,620,128.8
FROZEN PRODUCTS,1,112.5,44.4
REFRIGERATED,16,21623.7,900
REFRIGERATED,1,552.1,35.5
REFRIGERATED,1,280.5,26.6
REFRIGERATED,7,8342,252.2
REFRIGERATED,1,882,46.6
REFRIGERATED,6,5543,296.6
REFRIGERATED,1,246,12.2
REFRIGERATED,5,3473.15,240
REFRIGERATED Product,22,35822.9,1002.2
REFRIGERATED,22,15845.6,928.8
GROCERY ITEMS,1,783,44.4
DRY GROCERY,27,6447,1204.4
DRY GROCERY,1,860,30
GROCERY ITEMS,14,11485.7,701.1
DRY PRODUCTS,1,114,20
DRY PRODUCTS,13,3235,630
GENERAL CARGO,1,58,17.7
REFRIGERATED,1,925,62.2
REFRIGERATED PRODUCT,16,15621,976.6
GENERAL CARGO,6,678,305.9
Frozen Product,2,1112.4,103.3
REFRIGERATED,1,245,54.4
FROZEN PRODUCTS,9,5995.3,650
REFRIGERATED Product,8,12601,488.8
DRY CARGO,13,7884,589.1
FROZEN MEAT,3,3428.4,112.2
DRY GROCERY,12,9312,568.8
DRY GROCERY,12,12527,580
GROCERY ITEMS,3,3080,162
GROCERY ITEMS,3,736,104.4
GROCERY ITEMS,1,954,42.2
DRY PRODUCTS,1,463,133.3
DRY GROCERY,4,3985,203
GENERAL CARGO,6,1075,332
FROZEN PRODUCTS,14,6710.22,707.7
DRY GROCERY,3,2491,170
DRY GROCERY,1,259,25
DRY GROCERY,5,2201,278
DRY GROCERY,2,1165,81
DRY GROCERY,3,1411,146
DRY GROCERY,6,3314,184
DRY GROCERY,2,1886,96
DRY GROCERY,1,1139,39
DRY GROCERY,10,21876,524.1
REFRIGERATED,3,6000,166.6
FROZEN,4,3432,415.5
REFRIGERATED,2,3360,164.4
DRY PRODUCTS,29,20891,1481.1
GROCERY ITEMS,6,1741,297.7
GENERAL CARGO,1,172,34.4
REFRIGERATED,10,17132.4,584.4
REFRIGERATED Product,18,23514,1046.6
REFRIGERATED,2,1680,100
DRY GROCERY,5,4168,354.4
DRY PRODUCTS,22,38777,1613.3
DRY GROCERY,12,5812,680
GENERAL CARGO,11,15518,498
DRY CARGO,2,1778,114.2
DRY PRODUCTS,6,5919.68,178.8
DRY CARGO,2,1028,124.4
REFRIGERATED Product,18,20088.4,1260
DRY CARGO,1,1190,38.8
DRY CARGO,4,3530,222.2
general carrgo,9,7083.5,984.4
REFRIGERATED,4,5509,210
REFRIGERATED Product,20,20113.3,1152.2
DRY CARGO,1,292,44.4
DRY CARGO,3,2000,160
DRY CARGO,5,5000,320
GENERAL CARGO,49,18350,1802.2
DRY GROCERY,18,41136,1184.4
FROZEN FOOD,1,852.57,68.8
DRY PRODUCTS,3,2000,142.2
GENERAL CARGO,2,1123,94.4
DRY GROCERY,1,1661,57.7
DRY GROCERY,17,4841.6,425.5
REFRIGERATED,1,285.15,25.5
DRY,2,1000,120
REFRIGERATED,4,5000,320
DRY GROCERY,21,45699,1073.3
REFRIGERATED,4,3959,177.7
REFRIGERATED,1,2261,56.6
DRY GROCERY,22,41617,1186.6
REFRIGERATED,1,961,37.7
GROCERY ITEMS,2,1800,73.3
FROZEN PRODUCTS,1,576,43.3
REFRIGERATED,2,232,42.2
GENERAL CARGO,7,12539.5,503.3
GROCERY ITEMS,3,5717,198.8
GROCERY ITEMS,5,8997,278.8
promo items,1,97,21.1
REFRIGERATED,32,26896.16,1513.3
REFRIGERATED,7,8746.44,264.4
REFRIGERATED,4,2789.15,183.3
REFRIGERATED,1,172,17.7
PROMO ITEMS,1,339,21.1
REFRIGERATED,1,458.78,23.3
REFRIGERATED,1,493,20
REFRIGERATED,1,948,47.7
REFRIGERATED,2,1594,102.2
REFRIGERATED,19,21388,1055.5
GROCERY ITEMS,7,11737,357.7
DRY GROCERY,10,5385,455.5
DRY GROCERY,11,11341,648.8
