id,origin,pallet_size,length,width,height,weight,distance,goods,fragile,stackable,max_stack_weight,cost,profit
P28,EU,QUARTER,2,1,4,826,300,Electronics,True,False,50,579,2305
P29,NA,QUARTER,2,2,3,849,100,Pharmaceuticals,True,False,91,324,1341
P30,EU,HALF,2,3,4,975,900,Food,False,True,669,754,1521
P31,NA,HALF,2,3,6,992,100,Pharmaceuticals,True,False,35,387,1535
P32,NA,QUARTER,2,2,3,499,900,Pharmaceuticals,True,False,33,520,1209
P33,EU,QUARTER,2,1,3,543,900,Electronics,True,False,97,612,1490
P34,EU,HALF,2,3,3,718,300,Food,False,True,974,579,1338
P35,NA,HALF,2,3,6,774,900,Furniture,False,True,994,704,1389
P36,EU,QUARTER,2,1,6,206,100,Chemicals,False,False,596,181,444
P37,EU,HALF,2,3,5,453,900,Pharmaceuticals,True,False,92,520,714
P38,EU,FULL,4,3,6,878,300,Food,False,True,395,579,2038
P39,NA,FULL,4,3,5,942,100,Furniture,False,True,794,387,1681
P40,EU,HALF,2,3,4,665,100,Furniture,False,True,569,261,1040
P41,NA,FULL,4,3,4,421,100,Furniture,False,True,419,210,1180
P42,EU,QUARTER,2,1,4,249,900,Pharmaceuticals,True,False,16,471,397
P43,EU,FULL,4,3,5,282,300,Food,False,True,948,351,598
P44,NA,FULL,4,3,3,603,900,Furniture,False,True,448,612,1395
P45,NA,FULL,4,3,5,632,900,Chemicals,True,False,59,612,1881
P46,EU,FULL,4,3,5,335,900,Chemicals,True,False,60,520,717
P47,EU,FULL,4,3,5,228,900,Chemicals,False,False,520,471,385
P48,EU,QUARTER,2,1,4,691,300,Food,False,True,736,495,1754
P49,EU,HALF,2,3,3,343,900,Food,False,True,995,520,657
P50,EU,HALF,2,3,4,848,900,Electronics,True,False,41,704,1587
P51,EU,FULL,4,3,5,611,900,Food,False,True,550,612,1060
P52,NA,HALF,2,3,5,906,100,Pharmaceuticals,True,False,86,387,2144
P53,EU,HALF,2,3,5,318,100,Pharmaceuticals,True,False,47,210,707
P54,EU,QUARTER,2,1,3,662,300,Electronics,True,False,29,495,1629
P55,NA,FULL,4,3,6,288,300,Furniture,False,True,911,351,731
P56,NA,HALF,2,3,4,672,100,Pharmaceuticals,True,False,96,261,1808
P57,EU,QUARTER,2,1,3,973,900,Electronics,True,False,77,754,1681
P58,NA,QUARTER,2,2,3,568,300,Chemicals,True,False,35,495,1279
P59,NA,QUARTER,2,2,3,392,300,Food,False,True,911,411,950
P60,NA,FULL,4,3,5,554,300,Furniture,False,True,831,495,1311
P61,NA,QUARTER,2,2,5,899,300,Food,False,True,318,579,1626
P62,EU,HALF,2,3,4,950,100,Food,False,True,678,387,2506
P63,NA,HALF,2,3,5,453,300,Food,False,True,681,411,878
P64,NA,HALF,2,3,6,939,300,Pharmaceuticals,True,False,23,677,1457
P65,EU,HALF,2,3,4,180,100,Electronics,True,False,73,181,533
P66,NA,HALF,2,3,4,721,300,Furniture,False,True,826,579,1262
P67,EU,HALF,2,3,6,756,300,Furniture,False,True,784,579,1325
P68,EU,HALF,2,3,5,959,300,Electronics,True,False,48,677,1620
P69,NA,QUARTER,2,2,5,181,100,Chemicals,True,False,43,181,503
P70,EU,HALF,2,3,4,276,100,Furniture,False,True,333,181,736
P71,EU,FULL,4,3,6,863,100,Chemicals,False,False,585,324,2455
P72,EU,QUARTER,2,1,5,938,300,Electronics,True,False,26,677,1589
P73,EU,QUARTER,2,1,3,931,100,Furniture,False,True,562,387,2343
P74,NA,QUARTER,2,2,6,296,900,Furniture,False,True,537,471,873
P75,EU,HALF,2,3,3,385,300,Pharmaceuticals,True,False,53,411,597
P76,NA,HALF,2,3,4,711,900,Furniture,False,True,379,704,1824
P77,EU,FULL,4,3,3,951,900,Food,False,True,972,754,2342
P78,NA,HALF,2,3,3,319,300,Chemicals,False,False,771,411,544
P79,NA,HALF,2,3,4,214,100,Chemicals,True,False,68,181,437
P80,EU,HALF,2,3,5,705,900,Food,False,True,368,704,1797
P81,NA,FULL,4,3,4,437,100,Chemicals,True,False,29,210,960
P82,NA,QUARTER,2,2,3,911,100,Furniture,False,True,687,387,2274
P83,NA,HALF,2,3,4,168,100,Electronics,True,False,50,181,319
P84,EU,HALF,2,3,5,163,900,Pharmaceuticals,True,False,15,471,484
P85,EU,HALF,2,3,5,182,300,Chemicals,True,False,13,351,361
P86,EU,HALF,2,3,4,188,900,Pharmaceuticals,True,False,73,471,553
P87,EU,HALF,2,3,4,789,300,Electronics,True,False,16,579,1559
P88,EU,FULL,4,3,3,641,300,Furniture,False,True,670,495,1247
P89,NA,FULL,4,3,5,882,900,Pharmaceuticals,True,False,50,704,2263
P90,EU,HALF,2,3,5,892,300,Chemicals,True,False,7,579,2088
P91,NA,HALF,2,3,6,430,300,Chemicals,False,False,642,411,837
P92,EU,FULL,4,3,4,819,900,Electronics,True,False,38,704,2158
P93,NA,HALF,2,3,3,665,900,Pharmaceuticals,True,False,58,612,1056
P94,EU,FULL,4,3,4,746,900,Electronics,True,False,67,704,1969
P95,EU,FULL,4,3,3,172,100,Pharmaceuticals,True,False,33,181,376
P96,NA,FULL,4,3,4,950,900,Furniture,False,True,388,754,2514
P97,NA,HALF,2,3,4,231,300,Food,False,True,750,351,686
P98,NA,QUARTER,2,2,3,352,300,Food,False,True,697,411,823
P99,NA,HALF,2,3,3,714,300,Food,False,True,828,579,1384
P100,NA,HALF,2,3,3,575,100,Pharmaceuticals,True,False,7,261,1016
